------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4004  |     0.7314  |   0.6648  |               |              7.4698  |
|          |      1  |      1.2617  |     0.8018  |   0.7471  |               |              7.8734  |
|          |      2  |      1.2354  |     0.8184  |   0.7909  |               |              8.2783  |
|          |      3  |      1.1533  |     0.8594  |   0.8214  |               |              8.6521  |
|          |      4  |      1.1475  |     0.8555  |   0.8268  |               |              9.0240  |
|          |      5  |      1.0801  |     0.9023  |   0.8685  |               |              9.3987  |
|          |      6  |      1.0518  |     0.9209  |   0.8878  |               |              9.7720  |
|          |      7  |      1.0264  |     0.9277  |   0.9000  |               |             10.1451  |
|          |      8  |      0.9712  |     0.9600  |   0.9253  |               |             10.5190  |
|          |      9  |      0.9351  |     0.9844  |   0.9334  |               |             10.8624  |
|          |   eval  |      0.9351  |     0.9844  |   0.9334  |       0.9412  |             11.0292  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.4785  |     0.6777  |   0.4702  |               |              0.4958  |
|          |      1  |      1.2500  |     0.8174  |   0.6722  |               |              0.9019  |
|          |      2  |      1.2119  |     0.8389  |   0.8237  |               |              1.3095  |
|          |      3  |      1.1729  |     0.8467  |   0.8209  |               |              1.6833  |
|          |      4  |      1.1143  |     0.8848  |   0.8444  |               |              2.0581  |
|          |      5  |      1.1016  |     0.8867  |   0.8389  |               |              2.4329  |
|          |      6  |      1.0420  |     0.9229  |   0.8919  |               |              2.8075  |
|          |      7  |      1.0332  |     0.9199  |   0.8914  |               |              3.1830  |
|          |      8  |      0.9619  |     0.9717  |   0.9222  |               |              3.5583  |
|          |      9  |      0.9360  |     0.9814  |   0.9336  |               |              3.9034  |
|          |   eval  |      0.9360  |     0.9814  |   0.9336  |       0.9403  |              4.0707  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4600  |     0.6826  |   0.5997  |               |              0.4991  |
|          |      1  |      1.3740  |     0.7314  |   0.7107  |               |              0.9054  |
|          |      2  |      1.2695  |     0.8008  |   0.7072  |               |              1.3148  |
|          |      3  |      1.1689  |     0.8535  |   0.7860  |               |              1.6894  |
|          |      4  |      1.1270  |     0.8760  |   0.8664  |               |              2.0657  |
|          |      5  |      1.1016  |     0.8887  |   0.8461  |               |              2.4398  |
|          |      6  |      1.0537  |     0.9141  |   0.8722  |               |              2.8148  |
|          |      7  |      1.0264  |     0.9316  |   0.8947  |               |              3.1905  |
|          |      8  |      0.9619  |     0.9658  |   0.9238  |               |              3.5658  |
|          |      9  |      0.9365  |     0.9785  |   0.9333  |               |              3.9126  |
|          |   eval  |      0.9365  |     0.9785  |   0.9333  |       0.9414  |              4.0798  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4531  |     0.6875  |   0.5864  |               |              0.4112  |
|          |      1  |      1.2412  |     0.8262  |   0.7473  |               |              0.8193  |
|          |      2  |      1.1807  |     0.8457  |   0.8190  |               |              1.2275  |
|          |      3  |      1.1670  |     0.8477  |   0.7966  |               |              1.6026  |
|          |      4  |      1.1240  |     0.8809  |   0.8555  |               |              1.9798  |
|          |      5  |      1.0957  |     0.8799  |   0.8103  |               |              2.3555  |
|          |      6  |      1.0449  |     0.9238  |   0.8999  |               |              2.7303  |
|          |      7  |      1.0186  |     0.9346  |   0.8920  |               |              3.1067  |
|          |      8  |      0.9780  |     0.9521  |   0.9218  |               |              3.4831  |
|          |      9  |      0.9355  |     0.9814  |   0.9326  |               |              3.8290  |
|          |   eval  |      0.9355  |     0.9814  |   0.9326  |       0.9394  |              3.9968  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.4482  |     0.7148  |   0.6441  |               |              0.4120  |
|          |      1  |      1.3359  |     0.7383  |   0.5431  |               |              0.8200  |
|          |      2  |      1.1953  |     0.8438  |   0.7746  |               |              1.2313  |
|          |      3  |      1.1729  |     0.8486  |   0.8207  |               |              1.6075  |
|          |      4  |      1.1143  |     0.8867  |   0.8701  |               |              1.9842  |
|          |      5  |      1.0762  |     0.9111  |   0.8628  |               |              2.3601  |
|          |      6  |      1.0400  |     0.9199  |   0.8937  |               |              2.7363  |
|          |      7  |      1.0146  |     0.9346  |   0.9073  |               |              3.1130  |
|          |      8  |      0.9717  |     0.9609  |   0.9239  |               |              3.4887  |
|          |      9  |      0.9385  |     0.9824  |   0.9307  |               |              3.8343  |
|          |   eval  |      0.9385  |     0.9824  |   0.9307  |       0.9390  |              4.0023  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.4326  |     0.6982  |   0.6941  |               |              0.4953  |
|          |      1  |      1.2432  |     0.8174  |   0.7746  |               |              0.9028  |
|          |      2  |      1.1924  |     0.8457  |   0.6967  |               |              1.3137  |
|          |      3  |      1.1533  |     0.8623  |   0.7629  |               |              1.6904  |
|          |      4  |      1.1123  |     0.8809  |   0.8312  |               |              2.0694  |
|          |      5  |      1.1064  |     0.8867  |   0.8331  |               |              2.4458  |
|          |      6  |      1.0537  |     0.9082  |   0.8898  |               |              2.8224  |
|          |      7  |      1.0195  |     0.9326  |   0.9079  |               |              3.2005  |
|          |      8  |      0.9727  |     0.9629  |   0.9236  |               |              3.5772  |
