Running CIFAR-10 AirBench with translate = 0
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|       0  |      0  |      1.4404  |     0.7031  |   0.6359  |               |              8.2136  |
|          |      1  |      1.2949  |     0.7920  |   0.6677  |               |              8.6075  |
|          |      2  |      1.2188  |     0.8262  |   0.7505  |               |              9.0055  |
|          |      3  |      1.1602  |     0.8652  |   0.8078  |               |              9.3794  |
|          |      4  |      1.1309  |     0.8652  |   0.8684  |               |              9.7511  |
|          |      5  |      1.0732  |     0.9014  |   0.8552  |               |             10.1250  |
|          |      6  |      1.0225  |     0.9248  |   0.8807  |               |             10.4970  |
|          |      7  |      0.9897  |     0.9541  |   0.9085  |               |             10.8704  |
|          |      8  |      0.9307  |     0.9854  |   0.9203  |               |             11.2433  |
|          |      9  |      0.9023  |     0.9951  |   0.9302  |               |             11.5859  |
|          |   eval  |      0.9023  |     0.9951  |   0.9302  |       0.9363  |             11.7541  |
------------------------------------------------------------------------------------------------------
|       1  |      0  |      1.3760  |     0.7412  |   0.6939  |               |              0.3966  |
|          |      1  |      1.2988  |     0.7881  |   0.7484  |               |              0.7948  |
|          |      2  |      1.1631  |     0.8770  |   0.7489  |               |              1.1944  |
|          |      3  |      1.1396  |     0.8721  |   0.8005  |               |              1.5672  |
|          |      4  |      1.1553  |     0.8613  |   0.8206  |               |              1.9407  |
|          |      5  |      1.0664  |     0.9131  |   0.8625  |               |              2.3147  |
|          |      6  |      1.0088  |     0.9434  |   0.8915  |               |              2.6864  |
|          |      7  |      0.9824  |     0.9561  |   0.9075  |               |              3.0608  |
|          |      8  |      0.9219  |     0.9863  |   0.9199  |               |              3.4350  |
|          |      9  |      0.8984  |     0.9971  |   0.9271  |               |              3.7787  |
|          |   eval  |      0.8984  |     0.9971  |   0.9271  |       0.9382  |              3.9467  |
------------------------------------------------------------------------------------------------------
|       2  |      0  |      1.4150  |     0.7197  |   0.6631  |               |              0.3974  |
|          |      1  |      1.2441  |     0.8213  |   0.7472  |               |              0.7956  |
|          |      2  |      1.2012  |     0.8486  |   0.8082  |               |              1.1961  |
|          |      3  |      1.1328  |     0.8672  |   0.8267  |               |              1.5686  |
|          |      4  |      1.1123  |     0.8887  |   0.8564  |               |              1.9413  |
|          |      5  |      1.0684  |     0.9209  |   0.8467  |               |              2.3158  |
|          |      6  |      1.0234  |     0.9404  |   0.8878  |               |              2.6889  |
|          |      7  |      0.9761  |     0.9551  |   0.9010  |               |              3.0617  |
|          |      8  |      0.9263  |     0.9883  |   0.9208  |               |              3.4352  |
|          |      9  |      0.8955  |     1.0000  |   0.9261  |               |              3.7785  |
|          |   eval  |      0.8955  |     1.0000  |   0.9261  |       0.9349  |              3.9463  |
------------------------------------------------------------------------------------------------------
|       3  |      0  |      1.4189  |     0.7188  |   0.6858  |               |              0.4799  |
|          |      1  |      1.2803  |     0.7871  |   0.7161  |               |              0.8795  |
|          |      2  |      1.2188  |     0.8193  |   0.7719  |               |              1.2790  |
|          |      3  |      1.1748  |     0.8555  |   0.7600  |               |              1.6531  |
|          |      4  |      1.1064  |     0.8896  |   0.8261  |               |              2.0262  |
|          |      5  |      1.0732  |     0.8994  |   0.8483  |               |              2.4007  |
|          |      6  |      1.0273  |     0.9316  |   0.8748  |               |              2.7745  |
|          |      7  |      0.9839  |     0.9590  |   0.8968  |               |              3.1484  |
|          |      8  |      0.9277  |     0.9814  |   0.9228  |               |              3.5217  |
|          |      9  |      0.9028  |     0.9961  |   0.9288  |               |              3.8649  |
|          |   eval  |      0.9028  |     0.9961  |   0.9288  |       0.9378  |              4.0329  |
------------------------------------------------------------------------------------------------------
|       4  |      0  |      1.3789  |     0.7500  |   0.7012  |               |              0.3992  |
|          |      1  |      1.3320  |     0.7627  |   0.6810  |               |              0.7986  |
|          |      2  |      1.1807  |     0.8457  |   0.8137  |               |              1.1999  |
|          |      3  |      1.1328  |     0.8721  |   0.8094  |               |              1.5744  |
|          |      4  |      1.1230  |     0.8740  |   0.8341  |               |              1.9483  |
|          |      5  |      1.1143  |     0.8701  |   0.8543  |               |              2.3222  |
|          |      6  |      1.0234  |     0.9297  |   0.8808  |               |              2.6962  |
|          |      7  |      0.9829  |     0.9551  |   0.9013  |               |              3.0707  |
|          |      8  |      0.9263  |     0.9854  |   0.9198  |               |              3.4445  |
|          |      9  |      0.8994  |     0.9980  |   0.9262  |               |              3.7878  |
|          |   eval  |      0.8994  |     0.9980  |   0.9262  |       0.9355  |              3.9562  |
------------------------------------------------------------------------------------------------------
|       5  |      0  |      1.3594  |     0.7559  |   0.6869  |               |              0.3988  |
|          |      1  |      1.2285  |     0.8330  |   0.7627  |               |              0.7982  |
|          |      2  |      1.2012  |     0.8330  |   0.7941  |               |              1.1978  |
|          |      3  |      1.1367  |     0.8799  |   0.7939  |               |              1.5724  |
|          |      4  |      1.1074  |     0.8857  |   0.8647  |               |              1.9454  |
|          |      5  |      1.0732  |     0.9023  |   0.8766  |               |              2.3200  |
|          |      6  |      1.0264  |     0.9375  |   0.8961  |               |              2.6939  |
